"serial","name","time_start","time_end","venue_serial","event_type","categories","speakers"
"33451","Migrating to the Web Using Dart and Polymer - A Guide for Legacy OOP Developers","2014-07-23 17:00:00","2014-07-23 17:40:00","1458","40-minute conference session","Emerging Languages","149868"
"33457","Refactoring 101","2014-07-23 11:30:00","2014-07-23 12:10:00","1458","40-minute conference session","PHP","169862"
"33463","Open Source and Mobile Development: Where Does it go From Here?","2014-07-23 10:40:00","2014-07-23 11:20:00","1449","40-minute conference session","Mobile Platforms","169870,2216,96208,150073"
"33464","Open Source Protocols and Architectures to Fix the Internet of Things","2014-07-23 16:10:00","2014-07-23 16:50:00","1451","40-minute conference session","Open Hardware","2216"
"33476","Scaling PHP in the Real World!","2014-07-23 14:30:00","2014-07-23 15:10:00","1458","40-minute conference session","PHP","54107"
"33481","API Ecosystem with Scala, Scalatra, and Swagger at Netflix","2014-07-23 17:00:00","2014-07-23 17:40:00","1456","40-minute conference session","Emerging Languages","113667"
"33485","XSS and SQL Injections: The Tip of the Web Security Iceberg ","2014-07-23 16:10:00","2014-07-23 16:50:00","1458","40-minute conference session","PHP","169932"
"33503","Scalable Analytics with R, Hadoop and RHadoop","2014-07-23 14:30:00","2014-07-23 15:10:00","1475","40-minute conference session","Databases & Datastores","126882"
"33520","HA 101 with OpenStack","2014-07-24 10:00:00","2014-07-24 10:40:00","1466","40-minute conference session","Cloud","131499"
"33549","Eyes on IZON: Surveilling IP Camera Security","2014-07-23 14:30:00","2014-07-23 15:10:00","1454","40-minute conference session","Security","170134"
"33557","How to Fake a Database Design","2014-07-22 17:00:00","2014-07-22 17:40:00","1475","40-minute conference session","Databases & Datastores","170158"
"33564","Testing with Test::Class::Moose","2014-07-22 14:30:00","2014-07-22 15:10:00","1465","40-minute conference session","Perl","170158"
"33571","An Elasticsearch Crash Course","2014-07-22 10:40:00","2014-07-22 11:20:00","1475","40-minute conference session","Databases & Datastores","170054"
"33581","Building a Massively Scalable Cloud Service from the Grounds Up","2014-07-22 16:10:00","2014-07-22 16:50:00","1459","40-minute conference session","Cloud","116050"
"33585","Open/Closed Software - Approaches to Developing Freemium Applications","2014-07-22 10:40:00","2014-07-22 11:20:00","1457","40-minute conference session","Business","114822"
"33590","How to Build Reactive Applications","2014-07-23 10:40:00","2014-07-23 11:20:00","1456","40-minute conference session","Java & JVM","170293"
"33596","Designing Irresistible APIs","2014-07-23 16:10:00","2014-07-23 16:50:00","1452","40-minute conference session","Computational Thinking","4265"
"33597","Quantifying your Fitness","2014-07-24 11:50:00","2014-07-24 12:30:00","1475","40-minute conference session","Geek Lifestyle","4265,182808"
"33627","Introduction to Docker: Containerization is the New Virtualization","2014-07-20 13:30:00","2014-07-20 17:00:00","1450","tutorial","Operations & System Administration|Tools & Techniques","5060"
"33631","Mind the Gap: Architecting UIs in the Era of Diverse Devices","2014-07-23 17:00:00","2014-07-23 17:40:00","1449","40-minute conference session","User Experience","108125"
"33648","Devoxx4Kids: So Your Kid Interested in Programming, Robotics, Engineering?","2014-07-22 11:30:00","2014-07-22 12:10:00","1462","40-minute conference session","Education","143377"
"33687","Debugging LAMP Apps on Linux/UNIX Using Open Source Tools","2014-07-20 09:00:00","2014-07-20 12:30:00","1451","tutorial","PHP|Tools & Techniques","171078"
"33689","Forty New Features of Java EE 7 in 40 Minutes","2014-07-22 10:40:00","2014-07-22 11:20:00","1456","40-minute conference session","Java & JVM","143377"
"33704","Building a Recommendation Engine with Spring and Hadoop","2014-07-23 11:30:00","2014-07-23 12:10:00","1456","40-minute conference session","Java & JVM","171147"
"33709","Introduction to Parallel Iterative Deep Learning on Hadoop’s Next​-Generation YARN Framework","2014-07-23 13:40:00","2014-07-23 14:20:00","1452","40-minute conference session","Computational Thinking","171197,171201"
"33727","Open Sourcing Mental Illness","2014-07-22 13:40:00","2014-07-22 14:20:00","1465","40-minute conference session","Geek Lifestyle","1639"
"33733","When PostgreSQL Can&#39;t, You Can","2014-07-24 10:00:00","2014-07-24 10:40:00","1475","40-minute conference session","Databases & Datastores","152242"
"33741","How to Achieve Enterprise Storage Functionality with OpenStack Block Storage","2014-07-22 16:10:00","2014-07-22 16:50:00","1475","40-minute conference session","Databases & Datastores","171381"
