"serial","name","photo","url","twitter"
149868,"Faisal Abid","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_149868.jpg","http://www.faisalabid.com/","FaisalAbid"
172532,"Josh Adams","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_172532.jpg","http://isotope11.com/","knewter"
104828,"DJ Adams","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_104828.jpg","http://www.pipetree.com/qmacro","qmacro"
29558,"Lance Albertson","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_29558.jpg","http://www.lancealbertson.com/","ramereth"
109270,"Andrei Alexandrescu","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_109270.jpg","http://erdani.com/","incomputable"
2216,"Alasdair Allan","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_2216.jpg","http://thethingsystem.com/","aallan"
170293,"Jamie Allen","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_170293.jpg","http://typesafe.com/","jamie_allen"
46440,"Rob Allen","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_46440.jpg","http://akrabat.com/",""
117513,"Dan Allen","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_117513.jpg","http://google.com/profiles/dan.j.allen","mojavelinux"
27949,"Cat Allman","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_27949.jpg","http://code.google.com/",""
173281,"Mohammad Almalkawi","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_173281.jpg",,"moh"
108272,"Mike Amundsen","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_108272.jpg","http://amundsen.com/blog/","mamund"
122599,"Ishan Anand",,"http://moovweb.com/",
173201,"John Anderson","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_173201.jpg","http://genehack.org/","genehack"
143135,"Yazz Atlas","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_143135.jpg",,"EntropyWorks"
4429,"R Geoffrey Avery","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_4429.jpg",,"rGeoffrey"
173455,"Vishwas Babu","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_173455.jpg",,""
108813,"Jono Bacon","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_108813.jpg","http://www.jonobacon.org/","jonobacon"
59574,"Josh Barratt","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_59574.jpg","http://serialized.net/","jbarratt"
23017,"Rick Barraza",,"http://www.cynergysystems.com/","rickbarraza"
180437,"Doran Barton","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_180437.jpg","http://fozzolog.fozzilinymoo.org/","fozzmoo"
179963,"David Baumgold","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_179963.jpg","http://www.davidbaumgold.com/",
152215,"Brent Beer","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_152215.jpg","http://github.com/","brntbeer"
7969,"Brian Behlendorf","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_7969.jpg","http://brian.behlendorf.com/","brianbehlendorf"
170052,"Tim Bell","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_170052.jpg",,"noggin143"
173340,"Adam Benayoun","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_173340.jpg","http://binpress.com/","adambn"
173233,"Frederic Berg","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_173233.jpg","http://www.sap.com/","frdrcbrg"
137697,"Tim Berglund","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_137697.jpg","http://www.datastax.com/","tlberglund"
106355,"Andrew Berkowitz","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_106355.jpg","http://www.teamsnap.com/","andrewberkowitz"
3397,"Josh Berkus","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_3397.jpg","http://www.pgexperts.com/","FuzzyChef"
10,"Gina Blaber","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_10.jpg",,"ginablaber"
2593,"Michael Bleigh","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_2593.jpg","http://www.divshot.com/","mbleigh"
143232,"Olivier Bloch",,,"obloch"
172898,"Adam Bordelon",,"http://mesosphere.io/",""
180268,"Jay Borenstein","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_180268.jpg",,""
96208,"Joe Bowser",,"http://phonegap.com/","infil00p"
173248,"Garth Braithwaite","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_173248.jpg","http://www.garthdb.com/","garthdb"
159586,"Alex Brandt ","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_159586.jpg",,""
131404,"VM Brasseur","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_131404.jpg","http://shoeless-consulting.com/","vmbrasseur"
24978,"Tim Bray","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_24978.jpg","http://www.tbray.org/ongoing/","timbray"
25862,"Michael Brewer","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_25862.jpg","http://www.franklin.uga.edu/people/mbrewer.php","operatic"
6845,"Joe Brockmeier","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_6845.jpg","http://dissociatedpress.net/","jzb"
161486,"Ethan Brown","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_161486.jpg","http://blogs.popart.com/author/ethanbrown","EthanRBrown"
90628,"Avi Bryant","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_90628.jpg",,"avibryant"
148534,"Brian Bulkowski","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_148534.jpg","http://aerospike.com/","aerospikedb"
171495,"Greg Bulmash","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_171495.jpg","http://www.seattlecoderdojo.com/","GregBulmash"
169673,"Cody Bunch",,"http://professionalvmware.com/","cody_bunch"
173431,"Eric Butler","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_173431.jpg","http://cedexis.com/",""
108884,"Paris Buttfield-Addison","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_108884.jpg","http://www.secretlab.com.au/","parisba"
155881,"Alejandro Cabrera","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_155881.jpg","https://github.com/cabrera","cppcabrera"
63576,"Bryan Call",,"http://incubator.apache.org/projects/trafficserver.html",""
182198,"Darryn Campbell","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_182198.jpg",,""
155088,"Francesc Campoy Flores","http://cdn.oreillystatic.com/en/assets/1/eventprovider/1/_@user_155088.jpg","http://golang.org/","francesc"
6921,"Brian Capouch",,"http://www.saintjoe.edu/",""
